User,Comment
Rafsan TheChotoBhai,"I got my money back the next day, guess how?"
Tamal Tausif,We gotta support this man. He is literally representing Bangladesh to other countries. So proud of you.
Mahir Tazwar,The production quality in this is insane! Really proud of you Rafsan ️
Tamal Tausif,This is on whole another level. Had so much fun watching. I really wish you grow more and more like you do after every upload.
Siam Hoque,Decent presentation and Honest review.  This is called Justice. Well done bro.
Food Street,Today's review was a whole new international level brother.... Good to see your quality of editing on that scale is quite bold brother...Much love and respect 🇧🇩
138. Samia Khan,Extremely Good Bangeli type honest review. Respect for Rafsan
Sheikh Sohag,Proud of you brother
Katsunmoon 13,Bro I can't believe like u went from takeout 2.0 to international so fast I been watching ur videos for years man see ur change its really inspires me thank you man for making these videos <3
Two Faced,"May Allah bless you and your family Rafsan
So proud of you"
She Zan,I would love to see you tasting Gordon Ramsay's food one day and put some reviews
n00bForever,Bro you reached next level! So happy for you.
Taslima's Ozzy Vlog,As a Bangladeshi proud of you brother
JT.WRITTING,Salt Bae is good but for me Czn Burak is best for me. Because of his personality and everything. Also thanks to Rafsan for representing our country to others so beautifully...
Mostafa Sameer,"Your comment on the ""Chittagonian Mezban"" thing is really appreciated and man, you take it another level. 
In Shaa Allah, one day we can introduce the Mezzan to the whole world . Btw, your episodes on Chittagonian Mezban was gr8, !
Jazakmullahu Khaiyran @rafsan"
Abdullah Al Mamun,"Bro, you are the true inspiration of our generation. Inshallah, you will go a long way because you have the power of honesty. I really appreciate that always."
Maria Mohammed,"this guy started from real vs fake takeout. now this guy went to review czn burak vs salt bae. insane. honestly speaking this guy is the proof that ,chase your dream  :)"
faisal islam,Proud of YOU brother ️
Lima Rahman,"British   : Lets eat the rice 
Bengali : চলো ভাত খাওয়া যাক 
Rafsan  : Lets eat the ভাত"
CreationsofFarz ID*,"I liked the fact that Rafsan entered the posh restaurants with only a T shirt, messy hair fringe, casual pants to speak the blunt truth about dishes ! Interesting to learn about Salt Bae."
md kamal,It was really an amazing experience Rafsan bro
Omar Adnan,Go ahead brother.... Explore the world and represent our country
ZAHID SAKIB,"Good Bengali type honest Review.
Proud of you Thechotobhai.️"
soach,Bro a journey from takeout.2 to international  world famous restaurants bro you are epic and we are glad that we are a part of this journey from the bigning ️
Aman,Proud of you Rafsan️
Triggered⚡,"Rafsan is world's biggest food vlogger️ 
Love you bro"
Rezuan ul Mahir,Thank you for this amazing video make us proud brother
NOBIN,"Definitely u r the best international quality youtuber in Bangladesh. Despite that achievement still u r unstoppable!
Proud of u man."
MAHBUB GAMING,City of gold I love Dubai
Shubho,"You are really doing good job. You should give positive reviews rather than giving negative reviews. A lot of restaurant workers don't like you.They feel like you are working for some particular brand or people to fulfill their agendas. 
This is not to offend you, just feedback. Wish you good luck & grow more."
Rezaur Rashid,"In Turkey's Czn Burak you got some good hospitality and the staff were friendly but then you described that the food was totally trash
And here in Dubai you are comparing a 60000tk food with 16000tk.I understand you are a Salt Bae fan boy but don't humiliate others"
ROKONUZZAMAN ROKON,OMG GOLD রাফসান ভাই আমিও গোল্ড খেতে চাই অনেক অনেক ভালোবাসা রইলো️️
Ketsueki,Amazing content man. Keep the content up. Love u bro
Fabiha Ashrafi Esha,That steak looks good
Piyash Ahmed,Thank you Rafsan the Choto Bhai for representing our country beautifully ️️️
Creative bangla Ahmed,As a Bangladeshi proud of you brother
jihad rahman,"Wonderful video , Good  quality, good content & love you Rafsan The Chotobhai  All  Team ️️️"
Niaz Morshed,you guys are really outstanding...
Md Sultan Mahbub,Bro u are like an inspiration ️
ARMAN RAHMAN,It is basically an international level video and it is a matter of pride for us
Nayeb Hamid,"last second clip it was very funny, just you’re awesome rafsan️"
Nirjona Amir,day by day  I am becoming your huge fan for your simplicity
Aishik Biswas,Most wanted video .. I just want this video  Love from India
Alimul s,দীর্ঘ এক বছর পর রমজানের বাতাস পাওয়া যাচ্ছে আলহামদুলিল্লাহ ️️
Imroj Islam,"""Hey u can flim whatever u want""had me rolling on the floor lmfao"
MD Showkat Anik,"In general i see your all videos when you post them into youtube i just watch them till the end. If i wanna say you even more decently that you have an excellent voice and presentation is beyond admirable. Most compelling, Today i have had to observe your greatfullness to Allah in which I've been loyal to you. Just keep going and demonstrate you as a Bangladesh on behalf of us."
Star Boy,"1. ""This is a gold steak""
Not really, its just sheets of gold thinner than your bashundhara khata which would take you only 40-50$ to cover up a stake
2. You ordered an intentional dish at baes , while ordered the lamb dish at buraks which is mostly an asian dish having different preferences 
3. Not to forget salt bae is one of the most successful con artist of the time. Czn just too humble compared to that"
Sakeeb Kamal,This channel has reached new height
Neeghat Akther,"Rafsan the naughty boy, love you beta, keep your fun growing and be happy."
Shakila Sikder,MA-SHAA-ALLAH ️
Foysal Mahmud,"I get it, you're a Salt Bae fan and you don't have the slightest idea about CZN Burak. CZN Burak is a good man with a golden heart"
Urnamebe_CrYpT /j_&son,Wow man has come a long way
SADIK RAHMAN,"We are proud of You Bro,"
ITP AHMAD,Czn burak is actually a humble guy
Nasik Sami,"Nice video, but the price comparison seems a bit skewed. It would be better if you ordered the same cuisine from both places. The comparison of 24k gold meal vs tomato and lamb meat seems a bit partial."
abdullah al mamun,"Brother, when i see your face i think you are innocent and funny man. I feel proud that you r Bangladeshi. One-day i will meet you. I watch your video regularly and pray for u to allah. Allah Bless u and your family. Take care"
Chill With Shifat,So happy for you!!
Sayed Al Jarif,"Bro, this is epic..!"
RevenantGamer,"""no taxi from here, for pride"" got me"
Md Mamun,আলহামদুলিল্লাহ কথাটা তোমার মুখে  অনেক বার শুনার পর তোমার প্রতি ভালবাসাটা অনেক গুন  বেড়ে গেল। ️️️️️️
Tanvirul Islam,I think Lamb curry type dish isn’t Burak signature dish. He’s more popular for soft type cooked meat with rice and kebab which are more dry type food. but yeah Salt bae dish was right selection
Aŋʋʀʌʛ,Czn burak is a proper chef salt bae is just a meme at this point
VICTOR LAHIRY,You are so good Rafsan ...bro.....
Islamic Prayer,Nothing to say bro.ur vlog is soo nice.
MD MRK,"4:00 that words ,,,, 
Funny but true,,,,,"
Monazir Hossain,The upgrade this guy had
Imam Shaheb,Proud of you
Basel Ahmad,"You are so fucking humble man. Love it. Absolute, pure, gold."
Mukbang Boy Nini,"May you have a blessed Ramadan filled with blessings!"""
shezan,Czn burak always best ️
Youthbangla Ltd.,Made 5 google accounts just to like this video 5 times. Way to go bro!
Mr NObody,Gordon Ramsey laughing in the corner
sk Sopno,"Your the king of food vloggar 
And your boss"
Ed1th,Dude went from Takeout 2.0 to CZN Burak vs Salt Bae!! Such an Inspiration. Hats off mate
Mohammad Rifat,You have proved that year is just a number.  our inspiration
ZahiD HasaN,Go Ahead Bro
Nipun Ahmed,My DREAM COUNTRY- One Day Inshallah
Habib Zakaria Anup,"Actually, I like your content so much that I had to comment. 
Make Bangladesh Proud Bro️️"
Tamanna Begum,Always love ur videos️
Fahad Saif,বাংলাদেশের দেশি সরষে ইলিশ এই  পঞ্চান্নহাজার টাকার স্টেক থেকে হাজার গুন ভালো হবে সেটা আমি স্টেক না খেয়েই বলে দিতে পারি
BLOOD GG,Keep ur Justice up and love your videos brother️
Shawon Mohammad Shanto,"""Rafsan: Is this like, gold???
Waiter: This is gold"""
Reefat Alam,"Bro 
You are all time funny guys 
But that's cool"
Fabiha Ashrafi Esha,Happiness is watching your videos  I always wait for your videos to watch
Shamimara Nawaz,"Alhumdulillaah, SubhanAllaah,  May Allaahu Swt guide us,  bless you Rafsan the chotobhai, Aameen"
A.S.M. Shafique,Alhamdulillah.... May Allah SWT bless you.
Gorib Gaming,"Damn man, your last second clip was osthir, mojar, valo lagse vai... Keep it up"
Pakhi's Recipe Vlog,অসাধারণ হয়েছে তোমার ভিডিও টা অনেক দোয়া রইলো ️️️
Goni Bhaii,Wonderful video  Go ahead....
Farhana Happy,আপনি এত টাকা দিয়ে খাবার খান আর আমাদের এত টাকা থাকলে কত স্বপ্ন পূরণ হয়ে যেত
Shariful islam Papon,Rafsan Always FirePp
Mahmudul Hasan Walid,Now you become an International Content Creator! Congrats!
Md Nazmul Hossain,"Rafsan u r best....
U r best food blogger in bd"
Mohammad Tamkeen,"I am pretty sure they took 45,000tk for the Gold and 10,000tk for the food & service xD"
Chef Abdur Rahman (Reverted Muslim),you guys are really amazing and I am always watching your video.
WRF Gaming,"Bro, you should open your own restaurant... 
People will like this very much"
Bishesh Roy,"Bruhh I am literally shocked with all the ""gola kata prices"""
Jack Don,Excellent video home🇨🇭
Mirazul Gaming24,Always we love cznburak
Parvin Parvin,"Salt Bae is overpriced, you could get a $20 gold sheet and put in on the cheapest steak in the Salt Bae restaurant. The margin they profit is insane."
Saidul Islam Sabbir,Bro praising ctg mezbaan over czn burak! Respect.
ranger lone,"when I see this type of video, my aspiration/motivation for Jannah (heaven) increases...bcoz, if duniya is beautiful as this, then how beautiful the Jannah will be!
Oh my Lord! accept me for your Jannatul Firdaous...Ameen"
Naeem Bayzid,Wow .. we expect more international reviews.
Adif haque,It's really amazing that rafsan is going different places and show us that experiences
Morsheda Monu,You are doing really great.Rafsan the chotovai....You will be one of the finest you tuber in Bangladesh..InshaAllah...
𝗗𝗘𝗦𝗛𝗜 𝗕𝗢𝗬🤙,"রাফসান ভাইয়ের ফুড ব্লগিং ভিডিও মানেই নতুন কিছুকে সামনে তুলে ধরা
love you rafsan bhai️"
shaeem,Best content maker in Bangladesh
ABRAR BIVOR,Steak highest 2500 taka or 5k rest is his brand value
Wasee Gamer,You are the best food reviewer
Sumaiya Subha,"Love your videos so much
You are never disappoint us in any video 
Love you so so much 
Take love from dinajpur ️"
ARISFA JANNAT,ব্রিলিয়ান্ট তো সেই ব্যাক্তি যার ভিতর ৩০ পারা কুরআন শরীফ আছে ️️️ মাশা আল্লাহ
dalia akter,Vaia you are the greatest food vloger in the whole world
Taher Rahman,CZN BURAK is Best
Kazi Tafim,"bro you didn't order the same thing?
I wonder how much a gold steak will cost if Burrak sells it."
ahsan arif,czn burak! He is the best safe i had ever seen.
WMUSA,তোমার ভিডিওগুলো খুব ভালো লাগে তোমার মতো vlogger যে কবে হতে পারব?
BD Krangpur,️️️️ ধন্যবাদ তোমাকে এত সুন্দর একটা প্রতিবেদন তৈরি করার জন্য ️
Nafiz Nafiz,Very Beautiful This Video️
Glitchy,Me who can't afford both
Woalid's mom Lifestyle,মাশাল্লাহ অসাধারণ
Opel Ashraf,Allahumma Bariklana Feehi
Sumaiya Tayeba,I can't get enough of your videos . It's amazing to see all these through your eyes ️.
Reya Islam,"Love you vaiya
Apnar vlog gulo onek valo lage️"
Farhan Mahedi,"We'll keep supporting you like this always. Go ahead, Brother. Love from Tunisia.️"
Puspo Dear,Face: Bro just predicted his future from to first video
Md Nadim Khan,You're great just awesome
MAHBUB GAMING,Looking the food so yummy
Fazle Rabby Sariya,ধৈর্য আর পরিশ্রম মানুষকে একদিন সফলতা এনে দেয়
Mehedi Hasan Tarik,Congratulations for being first in MAT
Rifat khan,"UAE,City Dubai currency 
BankNote:Dirham
(দিরহাম)
Coin:Fils(ফিলস)
Whereas
Bangladesh currency 
Bank note:Taka( টাকা)
Coin:Paisa(পয়সা)"
Vlog in China JH,Keep safe bro
MD ABU SAYED,Beautiful ️️️️️️
Chefs Online,Excellent video
The confuse,Onno level️‍️‍
Yamin Music,
Md Shawon,"আমি বাঙালি বাংলায় কথা বলি তাই‌ তোমাকে বাংলায় মেসেজ দিলাম
 মায়ের হাতের রান্নার স্বাদ কোন পৃথিবীর রেস্টুরেন্টে পাওয়া যাবে না"
FarhanBhaiOfficial,Was waiting for this video!
Sami's Shorts🔥,"Straight Dubai after Sultan's Dine vlog?
Seems Sultan's dine paid you off well️"
Eugene L. Williams,"<*Thank you Jesus for the gift of life and Blessings upon me and my family. $32,000 weekly profit Our lord Jesus have lifted up my Life!!!*"
Maliha Mehrin,How his video quality is increasing is just amazinggg!!!!
BUSHRA MIM,Nice video
no_name,"According to you: Woodhouse grill vs salt bae?
Just in terms of stake?"
Anisha Khan,Omg...  What an experience!!!
Kamrul Islam,Thanks & take love  Rafsan
Brown Icon,I will go CZN
rinkaarudorin,When you wanted gold steak I bit my tongue like a bengali. Lmfao. Daud Kim is back to bangladesh btw
H M Ashraful Amin,you are so lucky bro...
Nasif Ahmed,"To make a fair comparison, you should've spent equally on both restaurants.
Great video tho, brother"
Asraf The chotoBhai,Take love bro
2 Poysha,Keep me in your prayers
Tazwar Chowdhury,Bruh So Beautiful
engineer hridoy,Mash Allah
Sauda Siddiqua,Congratulations for being top at medical exam!
Ahmed Noyon,Rafsan
Sumaiya Subha,"Love you so much 
You are the cutest person I ever seen in my life"
Adrian Ahmed,CZN Burak is a real legend of chef
Cockroach,6:45 now you are a king
Raisan Islam Rimi,"That "" HARAM Ruh afza "" was the best part."
Adnan Hossain,I think this video will be viral internationally.
Md. Sumon,শেষে মজা টাহ ভাল্লাগছে ভাই
Fahim Redwan,Love your vivdeos rafsan bro
Lutfor Rahman,Love you CZN BURAK..
Dragon,I like this very much ️
Limon,Both are very good
David Benjamin Singha,Please come Brahmanbaria. Best vlog ever.
Fhhd Dh,Czn Burak Super man
Sharmin Sultana,"go ahead.always .Always ,
have tremandious support for u"
M A Hasnat Traveller,I been there ..London one is more expensive than Dubai one
Salmon Bunny,bro sent your viewers some of that stake tukra.!!
Tarin NoorYT,i love czn BurakAs a person
Otaku,"ভাই আপনি যে টাকা টা ২ টা রেস্তোরাঁয় খরচ করছেন এইটা আমাদের ২ মাসের ঘর খরচ আপনার ২ ঘন্টা ও লাগে নি খরচ করতে,,,,,মাশাল্লাহ,,,"
Sheikh Alim,Good job man...
Village Food With Us,Nice video Vai
MD Abir,Love you bruh
GX  Guiter,
md tawhide islam,masallah allah tumk aro agya nibo
Tamu Mamu,"গোল্ড খাওয়ার পর পরের দিন সকালে....
I can't imagine"
Nisha Akter,You should have go to these restaurant in the evening time for more entertainment..
R,"Come to bogura ,colony
Chunnu,s chap it's really famous
And  kotkoti off mohasthan in front of the mazar"
Bristi Akter,সত্যি ভাই চিটাগাং থেকে দেখছি চট্টগ্রামের মেজবান অসাধারণ টেস্ট
Tishia Tasnim,Love u bro
Milon Milon,Salt bae তো লবণ ছিটানোর টাকাও Steak টার সাথে উসুল করে নিল ।
I.R. Shafin,"Success Rafsan, Success looks likes this."
Tariqul Islam,I love CZN Burak..
Tahasin Soron,Best part 0:0-11:6
Alvi Rahman,Nice  vlog I really liked the Video
Tanzz Zafrin,Right about mezban!! The most intense!!
Worrior of Light,"5:23 Seriously! 
Well then she was lucky that I wasn't there at your place"
Dihan X meme,The lucky vloger Rafsan vhai
Hooman Adnan,"Naaais ️
️ From CTG"
tanvir sajjad,Mashallah keep going...
Borisailla & Panchagoirah,Lovely Bro ️
Junayeed abdullah Tusar,rafsan you doing very well
kamrul islam,Looks like you are still chewing those non cooked beef
Jakia Shake,"Keep it up 
Bro"
Gaming Riyadh YT,সৌদি আরবের 🇸🇦 রিয়াদ থেকে একটা ভ্লগ চাই..!
Genshin Shikagure,It's lot better then any other reviewers on bangladesh
Rebeka Sultana,We love you son.
Jenith Alan,Bro tumi Dubai asco bole e meet korte parci Alhamdulillah ️️️ lots of love with you
Just A Guy With Beard,"Yo with 60k taka
I could buy the whole cow"
Akash Barai,Love u brother  @rafsanthechotovai
Maung Hla Wan,Best ever food review bangla version.
Tasmia Taha,It's really amazing that rafsan is going different places and show us that experience
Dogs Out,Burak ️️
Mija Miya,Czn burak is great.. than others
Aishik Biswas,Wow
I AM AKIL,Amazing vedio and go ahead 🫶️‍
Samiul Islam,Best of luck bro.... Wanna see more video like this
ADRIYAN SHAKIB,কে কে হযরত মোহাম্মদ (সাঃ) কে ভালবাসেন।
MD.MOHIBUR RAHMAN CHOWDHURY,"ভাই তুমি এই যে দুইটা Restaurant এ যে প্রাণীগুলার গোশত খাইলা এত এত দাম দিয়ে 
প্রাণীগুলা জানলে তোমার কী অবস্থা হইত 
ভাবছেন একবার।
Thanks for ur video 
and i subscribe u on ur last speech 
""alhamdulillah"""
Master AMV,My favourite YouTuber The Choto vhai
Owl Maths,May Allah bless you.
মুহিব্বুল্লাহ তাহমিদ,"Imaging  vlog brother 
your Big fans brother"
Motiur Rahman Jibon,Love U brother
Tahasin Soron,10:33-11:00 Best part ️
WHAIT444 GANG,আচকের পটিতে অন্তত 10 হাজার টাকার স্বর্ণ তো থাকবেই
𝕾𝖓𝖔𝖜𝖒𝖆𝖓,"Dang, I expected the food to be near a lakh."
মুহিব্বুল্লাহ তাহমিদ,"অসাধারণ একটি ভিডিও 
Very nice brother"
Abul Ahsan,"If you remember your past in the present,
You will be blessed in the future Insha Allah ️"
Ashimdas rimon,Love u bro
Himu Vlogs,Rafsan vai International Food Blogger
new something.,"You can't judgment who is better.. Cause,,  everyone has different especiality... But both are different..."
AYRA OFFICIAL BD,really pretty good..
Farhan sadik Shafin,Can u do collaboration with czn burak?
Maskara,তোমার ভিডিও গুলা দেখতে আমার অনেক ভালো লাগে আজকের ভিডিও ও অনেক দারুন ছিল
CHEFZ MAHMUD,"Go to the Texas De Brazil for an insane and unlimited experience. There is a lot of variety on steak, salad and drinks with kinds of coffee. That's worth the money."
Md IMRAN,Habibi come to Dubai 🇦🇪
Rahat Arefin Jumon,️️️
Trap x Therapy,️️️
মাওয়া ঘাটে ইলিশের,️️️
Nabila On YouTube,️️️
Mirajul Isham Sultan,️️️
Junayed Alam,Love you rafsan vai️
Tasmia Taha,You are the best Rafsan theChotoBhai and king
md shakil khan,"এক টুকরো গোসত ৫৫ হাজার 
আর আমরা গরুর গোসত ৭০০ টাকা কেজি খেতে পারিনা প্রায় ৬ মাস"
My Talent,You are my favorite food vloger
Mystery 99( রহস্য ৯৯),Rafsan the chutovai মানেইইই শুধু ঘুরতে ঘুরতে সুন্দর সুন্দর ব্লগ।
Maria,Kono din o Dubai e Chittagong mezbaan er fancy restaurant dile chittainga der jonne discount er bebostha korio please!
A little Bird,️️
yeasin aziz,বাংলাদেশি দেখে মন ভরে গেচে
Md oli Khan,Bro salt and czn er sathe to meet holona hole  aro vlo lagto bepar nah vallagse
Simran siddika,Er theke amdr Bangladesh er khabar khub e test
md jasim77,আসলে বাংলাদেশে একজন  পাইলাম  জে খাবার এর পতি শক বালো লাগল
Khukon Ahmed,এরচাইতে দুবাইয়ের স্ট্রিট ফুডের ভিডিও ইন্টারেস্টিং বেশি লাগবে
tanvir sarkar,Big fan vhai .  U are just my inspiration brother.  Love you brother ️
Asraful islam,রাফসান ভাই। আপনার ভিডিওর   সাউন্ড সবসময় কম থাকে। ভাই সাইন্ড আরেকটু বাড়িয়ে দিয়েন
Rokeya Akter Vlogs,Nice
